n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,re_prior,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,1,mmbeddings,2.76306,1.30556,0.401091,0.829981,0.234808,0.305441,0.719937,2.8169,,0.0643276,,,344,48.2408,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,2,mmbeddings,2.73541,1.27682,0.473117,0.832484,0.247996,0.303129,0.764051,2.71616,,0.0628666,,,340,53.6241,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,3,mmbeddings,2.98147,1.33399,0.386506,0.841917,0.175202,0.315773,0.691359,2.96559,,0.0681724,,,359,50.6237,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,4,mmbeddings,2.83553,1.31423,0.535211,0.834806,0.336358,0.284513,0.672853,2.98366,,0.0741274,,,362,48.1266,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,5,mmbeddings,2.81864,1.28988,0.452895,0.821938,0.258663,0.316363,0.709306,2.87606,,0.0662359,,,324,50.6751,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,6,mmbeddings,2.85727,1.32066,0.578745,0.819659,0.380395,0.297279,0.685398,2.90963,,0.0795589,,,476,68.6032,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,7,mmbeddings,3.53335,1.43654,0.448873,0.841815,0.284745,0.342305,0.707065,3.67828,,0.0791818,,,341,48.5989,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,8,mmbeddings,2.7049,1.28973,0.4831,0.824465,0.289764,0.290278,0.582882,2.77214,,0.0630859,,,340,51.3913,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,9,mmbeddings,2.87153,1.3102,0.400608,0.816044,0.177755,0.310159,0.690396,2.91971,,0.0863622,,,275,40.933,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,10,mmbeddings,2.92788,1.32695,0.4775,0.826646,0.250209,0.313422,0.750625,3.01484,,0.0703826,,,354,57.8526,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,11,mmbeddings,2.65768,1.28139,0.44347,0.843939,0.209856,0.339557,0.657449,2.7036,,0.0602448,,,422,56.539,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,12,mmbeddings,2.59182,1.26227,0.505472,0.797809,0.263973,0.310203,0.594596,2.59633,,0.0869369,,,312,49.6425,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,13,mmbeddings,3.70875,1.46129,0.347858,0.831534,0.205886,0.302608,0.630581,3.8036,,0.0828014,,,306,46.5873,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,14,mmbeddings,3.02139,1.34127,0.382088,0.813503,0.257853,0.302468,0.814314,3.23298,,0.0651886,,,424,63.7736,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,15,mmbeddings,3.35515,1.42109,0.661803,0.818087,0.437166,0.292282,0.711588,3.4957,,0.116439,,,406,58.3548,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,16,mmbeddings,3.4118,1.407,0.435842,0.824937,0.234002,0.290172,0.72824,3.46668,,0.0807639,,,284,38.3672,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,17,mmbeddings,3.42758,1.43549,0.574349,0.823864,0.387502,0.291057,0.616799,3.51529,,0.0917315,,,413,57.1525,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,18,mmbeddings,3.45443,1.41191,0.403804,0.814034,0.27283,0.308235,0.737538,3.56629,,0.0804919,,,300,41.0493,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,19,mmbeddings,3.0292,1.35822,0.476128,0.834801,0.260661,0.330227,0.715704,3.16251,,0.0742977,,,373,70.1095,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,0,mmbeddings,2.49828,1.23743,0.515036,0.578584,0.267955,0.234638,0.626574,2.55243,,0.392515,,,419,66.4013,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,1,mmbeddings,2.85608,1.29856,0.531183,0.578134,0.37312,0.221055,0.612222,2.95841,,0.400194,,,450,58.9862,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,2,mmbeddings,3.12623,1.35988,0.436043,0.615629,0.257021,0.241255,0.743511,3.23653,,0.362447,,,352,59.018,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,3,mmbeddings,2.88397,1.32634,0.574815,0.630985,0.36819,0.212877,0.715121,2.85588,,0.375226,,,456,59.2179,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,4,mmbeddings,2.66722,1.26318,0.505844,0.603535,0.300522,0.236129,0.705418,2.70227,,0.340595,,,579,71.6176,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,5,mmbeddings,3.59106,1.45305,0.42009,0.66898,0.204832,0.26356,0.674989,3.64369,,0.356499,,,421,57.5568,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,6,mmbeddings,2.75218,1.29972,0.367356,0.651246,0.15239,0.247301,0.721059,2.76882,,0.280436,,,330,46.787,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,7,mmbeddings,3.00378,1.35832,0.458276,0.630994,0.232156,0.210541,0.674161,3.18185,,0.36931,,,237,54.7616,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,8,mmbeddings,3.21693,1.40143,0.576544,0.64289,0.359301,0.249276,0.649407,3.27208,,0.406303,,,496,64.3013,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,9,mmbeddings,3.07293,1.36066,0.46639,0.624269,0.260338,0.220438,0.753461,3.12065,,0.37535,,,369,53.4367,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,10,mmbeddings,3.12983,1.34374,0.336396,0.664724,0.173044,0.209743,0.789184,3.19438,,0.28428,,,401,60.0956,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,11,mmbeddings,3.73177,1.47872,0.497899,0.639041,0.318208,0.252561,0.7309,3.82684,,0.395604,,,423,54.3178,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,12,mmbeddings,3.03018,1.34171,0.539482,0.587683,0.320304,0.229317,0.786361,3.08286,,0.468936,,,338,46.2349,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,13,mmbeddings,2.52557,1.24661,0.502524,0.564302,0.301187,0.216831,0.749682,2.6013,,0.372013,,,362,53.6654,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,14,mmbeddings,2.86569,1.31943,0.548388,0.646568,0.319604,0.247509,0.650995,3.06461,,0.343235,,,417,56.8146,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,15,mmbeddings,2.7522,1.30071,0.494186,0.623935,0.233213,0.237244,0.737479,2.78381,,0.38308,,,270,37.1306,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,16,mmbeddings,2.93755,1.34241,0.423347,0.660126,0.217482,0.235429,0.591063,3.10897,,0.311927,,,491,58.1092,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,17,mmbeddings,2.78508,1.30736,0.532264,0.605792,0.330831,0.23126,0.546151,2.9066,,0.355254,,,445,58.7099,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,18,mmbeddings,2.77776,1.28891,0.385411,0.685358,0.190296,0.26861,0.654008,2.80326,,0.226768,,,461,59.7751,13651,"[100, 100]","[10, 10]",10
