n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,auc,logloss,accuracy,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
1000,100000,100,FALSE,1,0.001,1,100,10,regbeddings,0.697656,0.634792,0.64416,0.947814,0.0329849,0.465476,0.6764,,,0.00556627,,,38,6.72541,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,10,tabtransformer,0.764592,0.627438,0.70017,,,,,,,,,,36,12.9711,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,10,mmbeddings,0.824462,0.650273,0.74989,0.59698,0.0993189,0.29318,0.7072,0.821325,,0.394975,,,124,12.007,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,11,ignore,0.686779,0.64143,0.64011,,,,,,,,,,100,7.4736,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,11,mean-encoding,0.708578,0.624428,0.65158,,,,,,,,,,59,5.6816,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,11,embeddings,0.83353,0.552429,0.76655,0.907055,0.143773,0.502783,0.682,,,0.0191273,,,43,7.5534,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,11,embeddings-l2,0.829486,0.518556,0.75615,0.986974,0.195562,0.547082,0.6728,,,0.00042722,,,55,6.30187,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,11,hashing,0.840699,0.524752,0.76865,,,,,,,,,,47,5.24245,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,11,regbeddings,0.681771,0.642098,0.63023,0.930688,0.133869,0.515883,0.6568,,,0.0115998,,,46,6.99031,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,11,tabtransformer,0.814759,0.608033,0.7489,,,,,,,,,,33,13.1454,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,11,mmbeddings,0.829612,0.604149,0.76012,0.604056,0.154561,0.334829,0.748,0.833354,,0.503057,,,66,18.2391,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,12,ignore,0.654313,0.65818,0.61264,,,,,,,,,,26,4.43813,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,12,mean-encoding,0.699612,0.631932,0.64217,,,,,,,,,,39,6.13521,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,12,embeddings,0.864308,0.556312,0.78633,0.898125,0.235932,0.48912,0.6928,,,0.0250248,,,98,7.49897,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,12,embeddings-l2,0.851581,0.518063,0.77087,0.990352,0.298743,0.539347,0.6912,,,0.000233983,,,121,8.39871,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,12,hashing,0.861513,0.495201,0.77936,,,,,,,,,,62,11.123,10471,"[100, 100]","[10, 10]",10
