n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,d,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.001,1,10000,5,8,mmbeddings,3.36974,1.4082,0.410853,0.675993,0.217453,0.26744,0.615125,3.60331,,0.645833,,,324,50.921,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,9,mmbeddings,3.6272,1.46532,0.545577,0.685619,0.35068,0.25816,0.546663,3.6503,,0.653332,,,626,87.9603,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,10,mmbeddings,3.21946,1.39819,0.442838,0.677201,0.311448,0.245086,0.698904,3.72226,,0.651755,,,430,68.1911,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,11,mmbeddings,2.49434,1.23481,0.455459,0.595101,0.239875,0.217507,0.622654,2.78739,,0.639911,,,334,61.6448,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,12,mmbeddings,2.64173,1.2789,0.396195,0.669586,0.212299,0.223564,0.697636,2.6623,,0.440602,,,358,50.5468,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,13,mmbeddings,3.29687,1.40472,0.463833,0.675418,0.270746,0.252119,0.578991,3.51098,,0.603957,,,356,59.7437,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,14,mmbeddings,3.26809,1.38297,0.429757,0.683884,0.242459,0.248711,0.844263,3.47225,,0.586926,,,423,58.1518,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,15,mmbeddings,2.72975,1.29611,0.499566,0.648799,0.275566,0.224355,0.702231,2.85664,,0.614221,,,410,55.8639,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,16,mmbeddings,3.4387,1.39607,0.397237,0.725987,0.210354,0.255908,0.591598,3.45441,,0.486691,,,452,58.4802,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,17,mmbeddings,3.30621,1.39657,0.397834,0.692179,0.201012,0.274993,0.634286,3.44026,,0.538321,,,411,53.857,12591,"[100, 100]","[10, 10]",10
