n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,11,unified,11.897,2.71795,0.46691,,,,,,,,,,,,42,108.321,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,12,ignore,16.3469,3.18398,0.324466,,,,,,,,,,,,275,21.9051,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,12,mean-encoding,16.3189,3.18141,0.325621,,,,,,,,,,,,202,21.3307,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,12,embeddings,15.3132,3.07919,0.367182,0.952408,0.131715,0.357559,0.577678,,,0.00681613,0.00618153,0.00873828,,,37,11.7343,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,12,hashing,16.6903,3.22063,0.310275,,,,,,,,,,,,40,108.19,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,12,regbeddings,15.8974,3.14015,0.34304,0.88801,0.127379,0.333611,0.581717,,,0.0431842,0.0262558,0.0713169,,,116,49.4778,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,12,tabtransformer,24.0342,3.8808,0.00678773,,,,,,,,,,,,17,65.1409,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,12,unified,15.3357,3.08051,0.366253,,,,,,,,,,,,43,144.579,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,13,ignore,13.7589,2.93395,0.376619,,,,,,,,,,,,307,23.7378,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,13,mean-encoding,13.7981,2.93843,0.37484,,,,,,,,,,,,330,37.7264,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,13,embeddings,11.8559,2.71396,0.462839,0.947445,0.167443,0.369425,0.596766,,,0.00800298,0.00737415,0.00591445,,,40,11.9209,300531,"[100, 100]","[10, 10]",10
