n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
1000,100000,100,FALSE,1,0.001,1,100,6,hashing,4.59971,1.65629,0.311582,,,,,,,,,,61,6.18563,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,regbeddings,5.716,1.8628,0.144512,0.87524,0.162882,0.460179,0.6812,,,0.047036,,,85,13.5613,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,tabtransformer,4.90334,1.7269,0.266139,,,,,,,,,,17,11.7351,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,mmbeddings,4.69723,1.67882,0.296987,0.660791,0.112289,0.347427,0.7028,4.64361,,0.417379,,,51,8.33455,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,ignore,4.52387,1.66943,0.161173,,,,,,,,,,66,4.67387,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,mean-encoding,4.30146,1.6238,0.202413,,,,,,,,,,84,6.75581,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,embeddings,2.67245,1.28449,0.504469,0.904521,0.357394,0.459723,0.646,,,0.0150744,,,47,4.29182,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,embeddings-l2,2.64469,1.2786,0.509615,0.966088,0.394374,0.491014,0.5916,,,0.00212771,,,58,4.91873,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,hashing,2.6418,1.27667,0.510152,,,,,,,,,,39,6.52401,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,regbeddings,4.78439,1.7178,0.112867,0.947253,0.287839,0.481441,0.6116,,,0.00449249,,,29,4.81376,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,tabtransformer,3.1813,1.40616,0.410117,,,,,,,,,,15,12.6395,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,mmbeddings,2.43702,1.22683,0.548122,0.52248,0.41081,0.26555,0.6712,2.48957,,0.4275,,,139,13.4025,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,ignore,5.09403,1.79351,0.101205,,,,,,,,,,43,3.88619,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,mean-encoding,5.05223,1.78658,0.108581,,,,,,,,,,40,6.02598,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,embeddings,3.67034,1.49721,0.352402,0.915001,0.271865,0.470589,0.7036,,,0.0170534,,,43,5.18799,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,embeddings-l2,3.86308,1.53279,0.318395,0.968286,0.343228,0.497994,0.7244,,,0.00221765,,,100,9.0555,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,hashing,3.6218,1.48654,0.360966,,,,,,,,,,64,5.77748,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,regbeddings,5.33559,1.83233,0.0585838,0.953021,0.166241,0.490143,0.6404,,,0.00534747,,,28,5.91413,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,tabtransformer,3.94951,1.5659,0.303145,,,,,,,,,,83,16.199,8687,"[100, 100]","[10, 10]",10
